,tOut
0,9.0
1,8.991666666666667
2,8.983333333333334
3,8.975000000000001
4,8.966666666666669
5,8.958333333333336
6,8.950000000000003
7,8.94166666666667
8,8.933333333333337
9,8.925000000000004
10,8.916666666666671
11,8.908333333333339
12,8.900000000000006
13,8.891666666666673
14,8.88333333333334
15,8.875000000000007
16,8.866666666666674
17,8.858333333333341
18,8.850000000000009
19,8.841666666666676
20,8.833333333333343
21,8.82500000000001
22,8.816666666666677
23,8.808333333333344
24,8.800000000000011
25,8.791666666666679
26,8.783333333333346
27,8.775000000000013
28,8.76666666666668
29,8.758333333333347
30,8.750000000000014
31,8.741666666666681
32,8.733333333333348
33,8.725000000000016
34,8.716666666666683
35,8.70833333333335
36,8.700000000000017
37,8.691666666666684
38,8.683333333333351
39,8.675000000000018
40,8.666666666666686
41,8.658333333333353
42,8.65000000000002
43,8.641666666666687
44,8.633333333333354
45,8.625000000000021
46,8.616666666666688
47,8.608333333333356
48,8.600000000000023
49,8.59166666666669
50,8.583333333333357
51,8.575000000000024
52,8.566666666666691
53,8.558333333333358
54,8.550000000000026
55,8.541666666666693
56,8.53333333333336
57,8.525000000000027
58,8.516666666666694
59,8.508333333333361
60,8.500000000000028
61,8.491666666666696
62,8.483333333333363
63,8.47500000000003
64,8.466666666666697
65,8.458333333333364
66,8.450000000000031
67,8.441666666666698
68,8.433333333333366
69,8.425000000000033
70,8.4166666666667
71,8.408333333333367
72,8.400000000000034
73,8.391666666666701
74,8.383333333333368
75,8.375000000000036
76,8.366666666666703
77,8.35833333333337
78,8.350000000000037
79,8.341666666666704
80,8.333333333333371
81,8.325000000000038
82,8.316666666666706
83,8.308333333333373
84,8.30000000000004
85,8.291666666666707
86,8.283333333333374
87,8.275000000000041
88,8.266666666666708
89,8.258333333333375
90,8.250000000000043
91,8.24166666666671
92,8.233333333333377
93,8.225000000000044
94,8.216666666666711
95,8.208333333333378
96,8.200000000000045
97,8.191666666666713
98,8.18333333333338
99,8.175000000000047
100,8.166666666666714
101,8.158333333333381
102,8.150000000000048
103,8.141666666666715
104,8.133333333333383
105,8.12500000000005
106,8.116666666666717
107,8.108333333333384
108,8.100000000000051
109,8.091666666666718
110,8.083333333333385
111,8.075000000000053
112,8.06666666666672
113,8.058333333333387
114,8.050000000000054
115,8.041666666666721
116,8.033333333333388
117,8.025000000000055
118,8.016666666666723
119,8.00833333333339
120,8.0
121,-99.0
122,-99.0
123,-99.0
124,-99.0
125,-99.0
126,-99.0
127,-99.0
128,-99.0
129,-99.0
130,-99.0
131,-99.0
132,-99.0
133,-99.0
134,-99.0
135,-99.0
136,-99.0
137,-99.0
138,-99.0
139,-99.0
140,-99.0
141,-99.0
142,-99.0
143,-99.0
144,-99.0
145,-99.0
146,-99.0
147,-99.0
148,-99.0
149,-99.0
150,-99.0
151,-99.0
152,-99.0
153,-99.0
154,-99.0
155,-99.0
156,-99.0
157,-99.0
158,-99.0
159,-99.0
160,-99.0
161,-99.0
162,-99.0
163,-99.0
164,-99.0
165,-99.0
166,-99.0
167,-99.0
168,-99.0
